Tabulka výsledků,Přiřazený link,,Správný link,Poznámka
http://psh.ntkcz.cz/skos/PSH4417,http://cs.wikipedia.org/wiki/Geografie sídel,1,,
http://psh.ntkcz.cz/skos/PSH7091,http://cs.wikipedia.org/wiki/Literární kritika,1,,
http://psh.ntkcz.cz/skos/PSH11665,http://cs.wikipedia.org/wiki/Surrealismus,1,,
http://psh.ntkcz.cz/skos/PSH9939,http://cs.wikipedia.org/wiki/Baseball,1,,
http://psh.ntkcz.cz/skos/PSH576,http://cs.wikipedia.org/wiki/Biogenní prvky,1,,
http://psh.ntkcz.cz/skos/PSH5915,http://cs.wikipedia.org/wiki/Funkční skupiny,0,http://cs.wikipedia.org/wiki/Funk%C4%8Dn%C3%AD_skupina,
http://psh.ntkcz.cz/skos/PSH11593,http://cs.wikipedia.org/wiki/Výtvarné umění,1,,
http://psh.ntkcz.cz/skos/PSH4614,http://cs.wikipedia.org/wiki/Kambrium,1,,
http://psh.ntkcz.cz/skos/PSH742,http://cs.wikipedia.org/wiki/Oko,1,,
http://psh.ntkcz.cz/skos/PSH13460,http://cs.wikipedia.org/wiki/Nemoci zvířat,1,,na wiki neexistuje článek k tomuto heslu
http://psh.ntkcz.cz/skos/PSH6295,http://cs.wikipedia.org/wiki/Insulin,1,,
http://psh.ntkcz.cz/skos/PSH8444,http://cs.wikipedia.org/wiki/Prezidentský systém,1,,
http://psh.ntkcz.cz/skos/PSH3457,http://cs.wikipedia.org/wiki/Mikroskopie,0,http://cs.wikipedia.org/wiki/Mikroskop,
http://psh.ntkcz.cz/skos/PSH6263,http://cs.wikipedia.org/wiki/Lyázy,0,http://cs.wikipedia.org/wiki/Ly%C3%A1za,
http://psh.ntkcz.cz/skos/PSH542,http://cs.wikipedia.org/wiki/Astronomická jednotka,1,,
http://psh.ntkcz.cz/skos/PSH5507,http://cs.wikipedia.org/wiki/Polymorfie,1,,
http://psh.ntkcz.cz/skos/PSH5872,http://cs.wikipedia.org/wiki/Dusičnany,1,,
http://psh.ntkcz.cz/skos/PSH3379,http://cs.wikipedia.org/wiki/Toroid,1,,
http://psh.ntkcz.cz/skos/PSH5046,http://cs.wikipedia.org/wiki/Mezolit,1,,
http://psh.ntkcz.cz/skos/PSH9609,http://cs.wikipedia.org/wiki/Industrializace,1,,
http://psh.ntkcz.cz/skos/PSH867,http://cs.wikipedia.org/wiki/Plísně,1,,
http://psh.ntkcz.cz/skos/PSH1128,http://cs.wikipedia.org/wiki/Silniční tunely,0,http://cs.wikipedia.org/wiki/Tunel,"přesný článek není, ale možná leší toto: "
http://psh.ntkcz.cz/skos/PSH13565,http://cs.wikipedia.org/wiki/Obory,0,http://cs.wikipedia.org/wiki/Obora,
http://psh.ntkcz.cz/skos/PSH2979,http://cs.wikipedia.org/wiki/Tíha,1,,
http://psh.ntkcz.cz/skos/PSH3768,http://cs.wikipedia.org/wiki/Geofyzika,1,,
http://psh.ntkcz.cz/skos/PSH6060,http://cs.wikipedia.org/wiki/Organická syntéza,1,,
